City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Srednekolymsk,RU,67.45,153.6833,-26.68,99,70,6.8,broken clouds
243,Moissac,FR,44.1024,1.0945,42.48,90,32,3.44,scattered clouds
244,Salalah,OM,17.0151,54.0924,73.49,73,20,4.61,few clouds
245,Vila Velha,BR,-20.3297,-40.2925,73.35,100,75,10.36,broken clouds
246,Shieli,KZ,44.1667,66.75,35.13,50,100,7.87,overcast clouds
247,Cherskiy,RU,68.75,161.3,-17.09,98,99,4.63,overcast clouds
248,Boueni,YT,-12.9025,45.0761,76.98,72,3,8.25,clear sky
249,Rodos,GR,36.4408,28.2225,61.79,90,20,1.01,few clouds
250,Nouadhibou,MR,20.931,-17.0347,67.82,48,0,12.95,clear sky
251,Bredasdorp,ZA,-34.5322,20.0403,63.37,80,6,4.97,clear sky
252,Bulgan,MN,48.8125,103.5347,-2.61,65,94,1.83,overcast clouds
253,Saint-Louis,SN,16.3333,-15.0,71.24,17,4,8.97,clear sky
254,Raga,SS,8.4596,25.678,75.85,43,92,0.58,overcast clouds
255,Kurumkan,RU,54.3,110.3,-10.66,77,21,1.61,few clouds
256,Sotnikovskoye,RU,45.0039,43.7772,30.47,78,100,16.67,overcast clouds
257,Krasnyy Chikoy,RU,50.3643,108.7512,1.83,85,100,14.45,overcast clouds
258,Maningrida,AU,-12.0667,134.2667,88.83,55,98,8.16,overcast clouds
259,Dalen,NL,52.6992,6.7556,44.06,89,100,5.99,overcast clouds
260,Alice Springs,AU,-23.7,133.8833,81.95,21,0,10.36,clear sky
261,Port-Gentil,GA,-0.7193,8.7815,75.96,90,100,13.09,light rain
262,Hasaki,JP,35.7333,140.8333,66.6,77,100,12.75,light rain
263,Upington,ZA,-28.4478,21.2561,75.58,57,20,21.85,few clouds
264,Kuandian,CN,40.7286,124.7847,12.13,24,0,11.01,clear sky
265,Upernavik,GL,72.7868,-56.1549,5.38,95,100,14.92,light snow
266,Neosho,US,36.869,-94.368,35.31,74,9,4.0,clear sky
267,Naples,IT,40.8333,14.25,54.14,72,40,14.97,scattered clouds
268,Parczew,PL,51.6402,22.9006,34.41,89,100,6.67,overcast clouds
269,Kattivakkam,IN,13.2167,80.3167,80.69,71,22,10.76,few clouds
270,Oni,GE,42.5794,43.4425,43.03,74,99,5.75,overcast clouds
271,Caravelas,BR,-17.7125,-39.2481,75.11,84,100,9.8,moderate rain
272,Beidao,CN,34.5686,105.8933,27.32,28,98,4.18,overcast clouds
273,Grindavik,IS,63.8424,-22.4338,48.67,93,75,34.52,broken clouds
274,Baoqing,CN,46.3317,132.2111,1.33,61,42,19.44,scattered clouds
275,Lasa,IT,46.6166,10.7002,40.08,94,59,4.61,broken clouds
276,Sambava,MG,-14.2667,50.1667,75.22,75,1,4.34,clear sky
277,Svetlaya,RU,46.5389,138.3297,12.15,55,5,13.31,clear sky
278,Xuanhua,CN,40.6103,115.0447,16.39,18,0,20.6,clear sky
279,Ekhabi,RU,53.5102,142.9671,13.89,91,100,28.92,light snow
280,Rio Grande,BR,-32.035,-52.0986,69.46,91,9,15.19,clear sky
281,Roseburg,US,43.2165,-123.3417,44.71,77,100,0.0,overcast clouds
282,Itaquyry,PY,-24.9333,-55.2167,69.57,74,31,3.33,scattered clouds
283,Port Lincoln,AU,-34.7333,135.8667,63.68,59,25,10.33,scattered clouds
284,Constitucion,CL,-35.3333,-72.4167,54.36,95,44,10.51,scattered clouds
285,Ribeira Grande,PT,38.5167,-28.7,60.78,92,69,4.0,broken clouds
286,Monroe,US,43.1501,-77.6831,41.45,78,0,10.36,clear sky
287,Imola,IT,44.3523,11.7158,42.22,84,98,7.67,overcast clouds
288,Fortuna,US,40.5982,-124.1573,43.14,92,0,4.61,clear sky
289,Chuy,UY,-33.6971,-53.4616,65.95,95,1,9.15,clear sky
290,Elat,IL,29.5581,34.9482,58.84,77,0,0.0,clear sky
291,Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,37.92,light rain
292,Miri,MY,4.4148,114.0089,86.14,66,40,4.61,scattered clouds
293,Kondinskoye,RU,59.6481,67.41,-4.49,95,91,4.83,overcast clouds
294,Alofi,NU,-19.0595,-169.9187,82.29,69,75,12.66,broken clouds
295,Madimba,TZ,-10.4,40.3333,72.72,94,20,9.22,few clouds
296,Hobyo,SO,5.3505,48.5268,81.03,65,90,18.19,overcast clouds
297,Marathon,US,44.9,-89.7668,29.73,87,100,19.57,overcast clouds
298,Adrar,MR,20.5022,-10.0711,60.84,21,0,9.06,clear sky
299,Guerrero Negro,MX,27.9769,-114.0611,59.63,74,49,9.6,scattered clouds
300,Fort Wellington,GY,6.4,-57.6,76.06,89,100,7.61,overcast clouds
301,Harper,LR,4.375,-7.7169,76.3,88,74,2.46,light rain
302,Antofagasta,CL,-23.65,-70.4,63.68,79,36,2.17,scattered clouds
303,La Rioja,ES,42.25,-2.5,37.18,83,100,3.27,overcast clouds
304,New Baltimore,US,42.6811,-82.7369,51.94,85,100,13.8,overcast clouds
305,Cayenne,GF,4.9333,-52.3333,73.44,94,100,3.44,overcast clouds
306,Ukiah,US,39.1502,-123.2078,45.05,70,0,1.01,clear sky
307,Dalbandin,PK,28.8947,64.4101,58.41,34,1,6.46,clear sky
308,Apud,PH,13.1393,123.2916,88.09,58,94,6.22,overcast clouds
309,Geraldton,AU,-28.7667,114.6,77.41,65,75,11.5,broken clouds
