City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Hasaki,JP,66.6,light rain,35.7333,140.8333,Choshi Plaza Hotel
263,Upington,ZA,75.58,few clouds,-28.4478,21.2561,Die Eiland Holiday Ressort
266,Neosho,US,35.31,clear sky,36.869,-94.368,Executive Inn
267,Naples,IT,54.14,scattered clouds,40.8333,14.25,Hotel Miramare
268,Parczew,PL,34.41,overcast clouds,51.6402,22.9006,G.H.Otel Parczew
270,Oni,GE,43.03,overcast clouds,42.5794,43.4425,სასტუმრო მხატვრის სახლი
271,Caravelas,BR,75.11,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
272,Beidao,CN,27.32,overcast clouds,34.5686,105.8933,麦积大酒店
273,Grindavik,IS,48.67,broken clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
275,Lasa,IT,40.08,broken clouds,46.6166,10.7002,"Hotel ""Drei Kreuz"""
276,Sambava,MG,75.22,clear sky,-14.2667,50.1667,Royal Sava Hôtel
278,Xuanhua,CN,16.39,clear sky,40.6103,115.0447,Century dynasty hotel
280,Rio Grande,BR,69.46,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
281,Roseburg,US,44.71,overcast clouds,43.2165,-123.3417,Howard Johnson Express Inn- Roseburg
283,Port Lincoln,AU,63.68,scattered clouds,-34.7333,135.8667,Boston Hotel
284,Constitucion,CL,54.36,scattered clouds,-35.3333,-72.4167,Hostal Alameda
286,Monroe,US,41.45,clear sky,43.1501,-77.6831,Quality Inn
287,Imola,IT,42.22,overcast clouds,44.3523,11.7158,Imola Residence
288,Fortuna,US,43.14,clear sky,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
289,Chuy,UY,65.95,clear sky,-33.6971,-53.4616,Alerces
290,Elat,IL,58.84,clear sky,29.5581,34.9482,Melony Club
291,Tasiilaq,GL,39.36,light rain,65.6145,-37.6368,Angmagssalik
292,Miri,MY,86.14,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
299,Guerrero Negro,MX,59.63,scattered clouds,27.9769,-114.0611,Plaza sal paraiso
302,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,Hotel Colón
305,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
306,Ukiah,US,45.05,clear sky,39.1502,-123.2078,Palace Hotel
307,Dalbandin,PK,58.41,clear sky,28.8947,64.4101,SF Al-dawood Restaurant
309,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Ocean Centre Hotel
313,Jacareacanga,BR,71.89,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
315,Atar,MR,64.89,clear sky,20.5169,-13.0499,فندق سكليل
316,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Grand Bel Air
318,Muroto,JP,65.19,overcast clouds,33.2833,134.15,民宿うらしま
319,Parker,US,47.84,clear sky,32.7668,-97.8003,Clarion
321,Lompoc,US,49.78,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
323,Mariakani,KE,75.29,overcast clouds,-3.8633,39.4736,The Smart Choice Enterprises
324,Gualaquiza,EC,62.44,broken clouds,-3.4,-78.55,Hotel Internacional
327,Kaifeng,CN,28.29,overcast clouds,34.7911,114.3483,JinjiangInn(Kaifeng)
329,Necochea,AR,61.59,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
331,Pacific Grove,US,49.68,clear sky,36.6177,-121.9166,Pacific Grove Inn
332,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Marfil del Amazonas
333,Hirara,JP,73.26,broken clouds,24.8,125.2833,古謝そば屋
335,Jerome,US,24.44,overcast clouds,42.7241,-114.5186,Best Western Sawtooth Inn & Suites
343,Visnes,NO,45.21,overcast clouds,59.3556,5.2242,Park Inn Haugesund Airport
346,San Vicente,AR,62.22,broken clouds,-26.6167,-54.1333,Los Lapachos
350,Mana,GF,75.76,overcast clouds,5.6592,-53.7767,Le Samana
351,Bend,US,33.08,clear sky,44.0582,-121.3153,Old St. Francis School
353,Richards Bay,ZA,66.67,clear sky,-28.783,32.0377,Protea Hotel
354,Barranca,PE,67.62,overcast clouds,-10.75,-77.7667,Emperador
355,Pitelino,RU,11.84,broken clouds,54.5777,41.8145,Гостиница
356,Ternate,ID,84.22,few clouds,0.8,127.4,Boulivard ternate
357,Hamilton,US,59.31,heavy intensity rain,39.1834,-84.5333,North Vista Manor
360,Nago,JP,72.03,overcast clouds,26.5881,127.9761,白浜
361,West Lafayette,US,59.31,moderate rain,40.4259,-86.9081,Union Club Hotel
362,Ailigandi,PA,76.78,moderate rain,9.2333,-78.0167,Akwadup Lodge
365,Bonavista,CA,25.16,overcast clouds,48.6499,-53.1147,Harbour Quarters Inn
367,Ancud,CL,45.18,clear sky,-41.8697,-73.8203,Cabañas
372,Cabo San Lucas,MX,70.11,clear sky,22.8909,-109.9124,Comfort Rooms
373,Banepa,NP,55.72,mist,27.6298,85.5214,rajendra
374,Hof,DE,38.44,overcast clouds,50.3167,11.9167,Sächsischer Hof
375,Pemangkat,ID,84.4,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
378,Jumla,NP,58.96,overcast clouds,29.2747,82.1838,Amar Sandesh Guesthouse
380,Karad,IN,74.91,overcast clouds,17.2833,74.2,Mahendra
382,Jaca,ES,33.98,overcast clouds,42.569,-0.5499,Hotel Jaqués
383,Svetlogorsk,BY,26.35,light snow,52.6333,29.7333,Гостиница Светочь
385,Hofn,IS,45.27,overcast clouds,64.2539,-15.2082,Guesthouse Dyngja
386,Te Anau,NZ,54.75,broken clouds,-45.4167,167.7167,Lakeside Motels & Apartments
387,Freeport,US,42.78,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
388,Havelock,US,58.98,few clouds,34.8791,-76.9013,Quality Inn Havelock Hwy 70
389,Dubbo,AU,80.73,scattered clouds,-32.25,148.6167,Ibis Budget
393,Ambilobe,MG,79.43,few clouds,-13.2,49.05,Hôtel National
394,Grand-Lahou,CI,77.63,overcast clouds,5.1367,-5.0242,Cap Lahou
395,Cidreira,BR,70.38,broken clouds,-30.1811,-50.2056,Hotel Castelo
404,Bengkulu,ID,83.61,overcast clouds,-3.8004,102.2655,Dena Hotel
406,Vestmannaeyjar,IS,47.97,overcast clouds,63.4427,-20.2734,Hotel Vestmannaeyjar
407,Viedma,AR,59.92,overcast clouds,-40.8135,-62.9967,Níjar
408,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Cape Garden
410,Honningsvag,NO,37.15,overcast clouds,70.9821,25.9704,Scandic Honningsvåg
413,Abu Dhabi,AE,74.97,broken clouds,24.4667,54.3667,Marriott Downtown Abu-Dhabi
414,Wajir,KE,76.96,broken clouds,1.7471,40.0573,Ngamia Club
416,Kita,ML,74.01,overcast clouds,13.0349,-9.4895,Hotel Chats Rouges
417,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel El Patio
418,Manhattan,US,41.63,broken clouds,40.7834,-73.9662,Hotel Belnord
419,Mombetsu,JP,37.42,scattered clouds,44.3525,143.3525,紋別セントラルホテル
420,Cobija,BO,78.03,broken clouds,-11.0267,-68.7692,HOTEL EL CRISTO
429,Sinnamary,GF,75.6,overcast clouds,5.3833,-52.95,Hôtel du fleuve
431,Obigarm,TJ,39.42,overcast clouds,38.7173,69.7088,Профилакториа
432,Urdoma,RU,18.39,light snow,61.7533,48.5442,Виконда
433,Hilton Head Island,US,63.0,clear sky,32.2163,-80.7526,Marriott's Harbour Point and Sunset Pointe
435,Mahibadhoo,MV,80.62,broken clouds,3.7833,72.9667,Coral View Inn
436,Mehamn,NO,37.35,overcast clouds,71.0357,27.8492,Mehamn Arctic hotell
437,Ales,FR,40.28,few clouds,44.1333,4.0833,Hôtel Le Riche
438,Yulara,AU,85.75,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
439,Shimoda,JP,70.16,overcast clouds,34.6667,138.95,ホテルウラガ
440,Reconquista,AR,75.22,clear sky,-29.15,-59.65,Hotel San Martin
441,Sept-Iles,CA,15.8,clear sky,50.2001,-66.3821,Château Arnaud
442,San Cristobal,VE,66.38,overcast clouds,7.7669,-72.225,Terra Sur
443,Vanimo,PG,83.82,overcast clouds,-2.6741,141.3028,CBC Guesthouse
444,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
445,Sur,OM,78.58,clear sky,22.5667,59.5289,Sur Hotel
449,Boysun,UZ,45.32,scattered clouds,38.2061,67.1986,Normat Mehmonxonasi
453,Kalabo,ZM,64.83,light rain,-14.97,22.6814,Golden Lodge Luxury Acomodation
455,San Francisco,US,51.04,few clouds,37.7749,-122.4194,Civic Center Hotel
